Brand,LensName,Modality,LensesPerBox,RetailPerBox,RebateAnnualNew,RebateAnnualExisting,CompetitorPerBox,CompetitorRebateNew,CompetitorRebateExisting,BaseCurve,Diameter
Alcon,AIR OPTIX COLORS,monthly-6,6,132,0,0,133,20,20,8.6,14.2
Alcon,AIR OPTIX COLORS,monthly-2,2,57,0,0,56,0,0,8.6,14.2
Alcon,AIR OPTIX PLUS HYDRAGLYDE MULTIFOCAL,monthly-6,6,121,0,0,121,40,40,8.6,14.2
Alcon,AIR OPTIX PLUS HYDRAGLYDE FOR ASTIGMATISM,monthly-6,6,93,0,0,94,30,30,8.7,14.5
Alcon,AIR OPTIX NIGHT & DAY AQUA,monthly-6,6,126,0,0,127,30,30,"8.4, 8.6",13.8
Alcon,AIR OPTIX PLUS HYDRAGLYDE,monthly-6,6,76,0,0,74,20,20,8.6,14.2
Alcon,DAILIES COLORS,daily-30,30,47,0,0,46,0,0,8.6,13.8
Alcon,DAILIES COLORS,daily-90,90,93,0,0,95,30,30,8.6,13.8
Alcon,DAILIES AQUA COMFORT PLUS MULTIFOCAL,daily-90,90,134,0,0,137,50,50,8.7,14
Alcon,DAILIES AQUA COMFORT PLUS MULTIFOCAL,daily-30,30,64,0,0,58,0,0,8.7,14
Alcon,DAILIES AQUA COMFORT PLUS TORIC,daily-90,90,116,0,0,119,70,70,8.8,14.4
Alcon,DAILIES AQUA COMFORT PLUS TORIC,daily-30,30,54,0,0,45,0,0,8.8,14.4
Alcon,DAILIES AQUA COMFORT PLUS,daily-90,90,95,0,0,93,70,70,8.7,14
Alcon,DAILIES AQUA COMFORT PLUS,daily-30,30,46,0,0,37,0,0,8.7,14
Alcon,DAILIES TOTAL ONE MULTIFOCAL,daily-90,90,165,325,225,161,0,0,8.5,14.1
Alcon,DAILIES TOTAL ONE MULTIFOCAL,daily-30,30,75,325,225,70,0,0,8.5,14.1
Alcon,DAILIES TOTAL ONE,daily-90,90,136,325,225,133,70,70,8.5,14.1
Alcon,DAILIES TOTAL ONE,daily-30,30,65,325,225,55,0,0,8.5,14.1
Alcon,DAILIES TOTAL ONE FOR ASTIGMATISM,daily-30,30,69,325,225,63,0,0,8.6,14.5
Alcon,DAILIES TOTAL ONE FOR ASTIGMATISM,daily-90,90,158,325,225,153,70,70,8.6,14.5
Alcon,PRECISION 1 FOR ASTIGMATISM,daily-90,90,118,250,150,115,70,70,8.5,14.5
Alcon,PRECISION 1 FOR ASTIGMATISM,daily-30,30,64,250,150,50,0,0,8.5,14.5
Alcon,PRECISION 1,daily-30,30,46,250,150,38,0,0,8.3,14.2
Alcon,PRECISION 1,daily-90,90,95,250,150,86,70,70,8.3,14.2
Alcon,TOTAL 30,monthly-6,6,82,100,75,79,0,0,8.4,14.2
Alcon,TOTAL 30 FOR ASTIGMATISM,monthly-6,6,91,100,75,84,0,0,8.6,14.5
Alcon,TOTAL 30 MULTIFOCAL,monthly-6,6,124,100,75,117,0,0,8.4,14.2
Alcon,TOTAL 30 MULTIFOCAL FOR ASTIGMATISM,monthly-6,6,159,100,75,N/A,N/A,N/A,8.4,14.2
Alcon,PRECISION 7,weekly-12,12,68,125,125,70,0,0,8.4,14.2
Alcon,PRECISION 7,weekly-27,27,115,125,125,120,0,0,8.4,14.2
Alcon,PRECISION 7 FOR ASTIGMATISM,weekly-12,12,82,125,125,83,0,0,8.6,14.5
Alcon,PRECISION 7 FOR ASTIGMATISM,weekly-27,27,135,125,125,140,0,0,8.6,14.5
Bausch & Lomb,BIOTRUE DAILIES FOR ASTIGMATISM,daily-90,90,103,220,100,103,75,75,8.4,14.5
Bausch & Lomb,BIOTRUE DAILIES FOR ASTIGMATISM,daily-30,30,55,220,100,52,0,0,8.4,14.5
Bausch & Lomb,BIOTRUE DAILIES FOR PRESBYOPIA,daily-30,30,59,220,100,53,0,0,8.6,14.2
